predict_date,class_id,predict_quantity
201711.0,103507.0,154.0
201711.0,124140.0,441.0
201711.0,125403.0,330.0
201711.0,136916.0,62.0
201711.0,169673.0,86.0
201711.0,175962.0,335.0
201711.0,178529.0,228.0
201711.0,186250.0,85.0
201711.0,194201.0,633.0
201711.0,194450.0,256.0
201711.0,198427.0,169.0
201711.0,206765.0,2134.0
201711.0,209945.0,275.0
201711.0,219195.0,197.0
201711.0,221795.0,375.0
201711.0,245609.0,114.0
201711.0,248352.0,283.0
201711.0,249875.0,158.0
201711.0,250658.0,189.0
201711.0,265980.0,136.0
201711.0,270690.0,781.0
201711.0,281301.0,543.0
201711.0,281792.0,414.0
201711.0,289386.0,561.0
201711.0,289403.0,274.0
201711.0,290854.0,539.0
201711.0,291086.0,611.0
201711.0,291514.0,142.0
201711.0,302513.0,193.0
201711.0,304458.0,607.0
201711.0,308913.0,173.0
201711.0,321683.0,2172.0
201711.0,340175.0,310.0
201711.0,347384.0,3849.0
201711.0,348641.0,527.0
201711.0,349023.0,872.0
201711.0,350259.0,467.0
201711.0,354068.0,771.0
201711.0,356986.0,512.0
201711.0,359378.0,141.0
201711.0,360648.0,209.0
201711.0,376193.0,288.0
201711.0,378356.0,271.0
201711.0,378536.0,135.0
201711.0,379265.0,368.0
201711.0,379876.0,149.0
201711.0,384924.0,986.0
201711.0,392593.0,169.0
201711.0,395234.0,104.0
201711.0,401052.0,179.0
201711.0,409854.0,2152.0
201711.0,412240.0,90.0
201711.0,416749.0,288.0
201711.0,417803.0,131.0
201711.0,425432.0,2029.0
201711.0,436105.0,533.0
201711.0,437063.0,346.0
201711.0,437598.0,110.0
201711.0,453752.0,305.0
201711.0,468392.0,203.0
201711.0,472603.0,68.0
201711.0,475895.0,131.0
201711.0,481950.0,153.0
201711.0,482497.0,270.0
201711.0,492952.0,192.0
201711.0,496459.0,452.0
201711.0,501564.0,115.0
201711.0,510309.0,152.0
201711.0,516750.0,23.0
201711.0,526401.0,410.0
201711.0,527765.0,218.0
201711.0,527809.0,288.0
201711.0,540712.0,364.0
201711.0,559132.0,91.0
201711.0,560265.0,104.0
201711.0,569154.0,416.0
201711.0,576298.0,257.0
201711.0,580470.0,470.0
201711.0,580634.0,448.0
201711.0,587678.0,354.0
201711.0,591790.0,275.0
201711.0,597927.0,382.0
201711.0,603972.0,504.0
201711.0,612523.0,411.0
201711.0,614059.0,357.0
201711.0,619401.0,424.0
201711.0,621073.0,1196.0
201711.0,628041.0,835.0
201711.0,649213.0,84.0
201711.0,651347.0,162.0
201711.0,651782.0,118.0
201711.0,653436.0,266.0
201711.0,654134.0,744.0
201711.0,671482.0,91.0
201711.0,682651.0,445.0
201711.0,683364.0,69.0
201711.0,687270.0,490.0
201711.0,692703.0,636.0
201711.0,693436.0,243.0
201711.0,713651.0,387.0
201711.0,714150.0,232.0
201711.0,714152.0,550.0
201711.0,714860.0,92.0
201711.0,725137.0,251.0
201711.0,732758.0,232.0
201711.0,735971.0,2214.0
201711.0,736094.0,236.0
201711.0,739296.0,702.0
201711.0,741152.0,596.0
201711.0,743957.0,731.0
201711.0,745137.0,764.0
201711.0,750340.0,79.0
201711.0,760412.0,81.0
201711.0,786351.0,107.0
201711.0,789290.0,94.0
201711.0,810398.0,79.0
201711.0,815230.0,221.0
201711.0,819061.0,204.0
201711.0,842246.0,351.0
201711.0,851857.0,278.0
201711.0,854079.0,99.0
201711.0,854548.0,161.0
201711.0,861459.0,231.0
201711.0,871642.0,175.0
201711.0,872180.0,230.0
201711.0,883691.0,377.0
201711.0,890189.0,1728.0
201711.0,905061.0,287.0
201711.0,905745.0,168.0
201711.0,914348.0,825.0
201711.0,923841.0,628.0
201711.0,924154.0,1375.0
201711.0,948936.0,97.0
201711.0,950264.0,1130.0
201711.0,953842.0,1196.0
201711.0,961362.0,125.0
201711.0,961962.0,104.0
201711.0,963845.0,278.0
201711.0,973106.0,218.0
201711.0,978089.0,421.0
