predict_date,class_id,predict_quantity
201711.0,103507.0,135.0
201711.0,124140.0,316.0
201711.0,125403.0,317.0
201711.0,136916.0,148.0
201711.0,169673.0,85.0
201711.0,175962.0,281.0
201711.0,178529.0,158.0
201711.0,186250.0,83.0
201711.0,194201.0,517.0
201711.0,194450.0,258.0
201711.0,198427.0,158.0
201711.0,206765.0,2162.0
201711.0,209945.0,304.0
201711.0,219195.0,177.0
201711.0,221795.0,371.0
201711.0,245609.0,118.0
201711.0,248352.0,251.0
201711.0,249875.0,159.0
201711.0,250658.0,210.0
201711.0,265980.0,28.0
201711.0,270690.0,770.0
201711.0,281301.0,545.0
201711.0,281792.0,413.0
201711.0,289386.0,558.0
201711.0,289403.0,274.0
201711.0,290854.0,309.0
201711.0,291086.0,618.0
201711.0,291514.0,119.0
201711.0,302513.0,168.0
201711.0,304458.0,608.0
201711.0,308913.0,169.0
201711.0,321683.0,2123.0
201711.0,340175.0,230.0
201711.0,347384.0,3376.0
201711.0,348641.0,522.0
201711.0,349023.0,904.0
201711.0,350259.0,511.0
201711.0,354068.0,705.0
201711.0,356986.0,540.0
201711.0,359378.0,112.0
201711.0,360648.0,173.0
201711.0,376193.0,47.0
201711.0,378356.0,367.0
201711.0,378536.0,111.0
201711.0,379265.0,363.0
201711.0,379876.0,147.0
201711.0,384924.0,825.0
201711.0,392593.0,165.0
201711.0,395234.0,110.0
201711.0,401052.0,177.0
201711.0,409854.0,1951.0
201711.0,412240.0,92.0
201711.0,416749.0,321.0
201711.0,417803.0,137.0
201711.0,425432.0,2010.0
201711.0,436105.0,495.0
201711.0,437063.0,200.0
201711.0,437598.0,53.0
201711.0,453752.0,308.0
201711.0,468392.0,197.0
201711.0,472603.0,76.0
201711.0,475895.0,119.0
201711.0,481950.0,152.0
201711.0,482497.0,265.0
201711.0,492952.0,185.0
201711.0,496459.0,439.0
201711.0,501564.0,92.0
201711.0,510309.0,162.0
201711.0,516750.0,22.0
201711.0,526401.0,391.0
201711.0,527765.0,94.0
201711.0,527809.0,259.0
201711.0,540712.0,376.0
201711.0,559132.0,119.0
201711.0,560265.0,72.0
201711.0,569154.0,405.0
201711.0,576298.0,258.0
201711.0,580470.0,472.0
201711.0,580634.0,292.0
201711.0,587678.0,350.0
201711.0,591790.0,268.0
201711.0,597927.0,446.0
201711.0,603972.0,497.0
201711.0,612523.0,202.0
201711.0,614059.0,365.0
201711.0,619401.0,422.0
201711.0,621073.0,1133.0
201711.0,628041.0,798.0
201711.0,649213.0,92.0
201711.0,651347.0,159.0
201711.0,651782.0,114.0
201711.0,653436.0,220.0
201711.0,654134.0,769.0
201711.0,671482.0,85.0
201711.0,682651.0,417.0
201711.0,683364.0,69.0
201711.0,687270.0,484.0
201711.0,692703.0,636.0
201711.0,693436.0,193.0
201711.0,713651.0,302.0
201711.0,714150.0,233.0
201711.0,714152.0,542.0
201711.0,714860.0,69.0
201711.0,725137.0,157.0
201711.0,732758.0,228.0
201711.0,735971.0,1965.0
201711.0,736094.0,224.0
201711.0,739296.0,651.0
201711.0,741152.0,594.0
201711.0,743957.0,730.0
201711.0,745137.0,793.0
201711.0,750340.0,75.0
201711.0,760412.0,79.0
201711.0,786351.0,117.0
201711.0,789290.0,92.0
201711.0,810398.0,66.0
201711.0,815230.0,220.0
201711.0,819061.0,324.0
201711.0,842246.0,199.0
201711.0,851857.0,226.0
201711.0,854079.0,139.0
201711.0,854548.0,139.0
201711.0,861459.0,250.0
201711.0,871642.0,174.0
201711.0,872180.0,174.0
201711.0,883691.0,359.0
201711.0,890189.0,1515.0
201711.0,905061.0,422.0
201711.0,905745.0,164.0
201711.0,914348.0,691.0
201711.0,923841.0,605.0
201711.0,924154.0,1374.0
201711.0,948936.0,105.0
201711.0,950264.0,1137.0
201711.0,953842.0,1254.0
201711.0,961362.0,103.0
201711.0,961962.0,102.0
201711.0,963845.0,302.0
201711.0,973106.0,194.0
201711.0,978089.0,416.0
